List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
105,0.007979543006513268,0.08011942099255975,0.014053074992261827
106,0.007516509998822585,0.0700926480058115,0.02687895299459342
107,0.01620788399304729,0.026572832008241676,0.015987392005627044
108,0.02150389899907168,0.01538678799988702,0.04616460399120115
109,0.016584116005105898,0.010278511996148154,0.035360527006560005
110,0.01770173799013719,0.020172032003756613,0.03846802600310184
111,0.01178344400250353,0.006734253009199165,0.022683988994685933
112,0.032155292996321805,0.011288736001006328,0.011375596994184889
113,0.010076239996124059,0.06228947600175161,0.025175125992973335
114,0.013693223998416215,0.0500911450071726,0.01487033000739757
115,0.010737504999269731,0.01169322500936687,0.053369846995337866
116,0.009694872991531156,0.01181419899512548,0.045246138994116336
117,0.028195669001434,0.008527993995812722,0.008996814009151421
118,0.009301395009970292,0.06456403899937868,0.01341326801048126
119,0.010232018001261167,0.034556533995782956,0.012616227992111817
120,0.010724788997322321,0.09452395599510055,0.051583887994638644
121,0.030971756001235917,0.01135119199170731,0.010946305003017187
122,0.060753281009965576,0.00855335799860768,0.009706148004624993
123,0.014706498011946678,0.03261964400007855,0.01363430600031279
124,0.010696771991206333,0.02796712399867829,0.015313209005398676
125,0.04766512700007297,0.03205037700536195,0.013784273993223906
126,0.06418719899374992,0.015145526005653664,0.016526103994692676
127,0.03107585599354934,0.08530284799053334,0.020398849999764934
128,0.07738657300069463,0.008150207999278791,0.010923738998826593
129,0.02819220899255015,0.02129973100090865,0.010878813991439529
130,0.02786310100054834,0.025799859009566717,0.018732271011685953
131,0.01035131499520503,0.05904324000584893,0.013498757005436346
132,0.015252794997650199,0.01765514799626544,0.02833999300491996
133,0.029942923007183708,0.013113978013279848,0.02978857100242749
134,0.016982008994091302,0.019283007000922225,0.05677614400337916
135,0.01697241900546942,0.04669178600306623,0.01623052499780897
136,0.013391877000685781,0.0435227949928958,0.01368450500012841
137,0.013391508997301571,0.05144382800790481,0.023119450008380227
138,0.01652774900139775,0.05685743999492843,0.019075754986261018
139,0.05010257298999932,0.017414641988580115,0.017260206004721113
140,0.06755051399522927,0.0903510230127722,0.07129480699950363
141,0.02188941100030206,0.017567186994710937,0.06323749999864958
142,0.014581821989850141,0.017941603990038857,0.029464097999152727
143,0.0189016630029073,0.018115893995855004,0.04053427200415172
144,0.03657845199631993,0.010622573012369685,0.018011166001087986
145,0.011342874000547454,0.048990295006660745,0.01965555599599611
146,0.08529894000093918,0.011102809003205039,0.07621282299805898
147,0.01677806201041676,0.07043947999773081,0.015290958996047266
148,0.060240894003072754,0.019719313000678085,0.015351035006460734
149,0.05102971600717865,0.023934611992444843,0.018732219992671162
150,0.047010052992845885,0.027370399999199435,0.04995304399926681
151,0.030738831992493942,0.024779180996119976,0.02627007399860304
152,0.01938492000044789,0.04584407000220381,0.03460027500113938
153,0.06760174699593335,0.06397775300138164,0.04889838099188637
154,0.0321667609969154,0.057587627990869805,0.04666196298785508
155,0.04309575099614449,0.03229130899126176,0.035933820996433496
156,0.037342520998208784,0.034311679992242716,0.0902479200012749
157,0.06577276100870222,0.030883239000104368,0.07099910899705719
158,0.043647459999192506,0.026608031010255218,0.02217203400505241
159,0.025653384000179358,0.024886650004191324,0.047629143999074586
160,0.02862975699827075,0.07070533800288104,0.09656298499612603
161,0.029681668005650863,0.1223925770027563,0.057303725989186205
162,0.036845485999947414,0.052080050998483784,0.03242200599925127
163,0.037017265989561565,0.0388420589879388,0.05030906500178389
164,0.041099073001532815,0.051394990005064756,0.032888153989915736
165,0.0671697799989488,0.02204586200241465,0.06828542299626861
166,0.015852358992560767,0.0680868850031402,0.01867245700850617
167,0.058512041010544635,0.023127620996092446,0.05983746198762674
168,0.027668599999742582,0.016741090003051795,0.04366254000342451
169,0.05431949699413963,0.022310493004624732,0.07805189299688209
170,0.03263681099633686,0.0620033710001735,0.19175875899964012
171,0.060844617008115165,0.052457729005254805,0.04685448000964243
172,0.02508577299886383,0.06572441900789272,0.020141817003604956
173,0.08237077700323425,0.03506112399918493,0.08830475799913984
174,0.06904915999621153,0.028932255008840002,0.06565209399559535
175,0.023675051997997798,0.061064189998432994,0.023408098000800237
176,0.06949704400904011,0.022221633000299335,0.03215988600277342
177,0.05929428499075584,0.035219508994487114,0.06568693699955475
178,0.020559420008794405,0.07766290800645947,0.08164249399851542
179,0.020824623003136367,0.060126292999484576,0.028025972002069466
180,0.05430656899989117,0.02370482600235846,0.06767431400658097
