List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
39,0.00033308799993392313,0.0003672949997053365,0.0036343459996714955
40,0.0003640740001173981,0.00021816199978275108,0.004818804000024102
41,0.00044671699970422196,0.00045238400025482406,0.0027049690002058924
42,0.00042307500007154886,0.0003635010002653871,0.0030945650000830938
43,0.0004514930001278117,0.00036931099975845427,0.0035475950003274193
44,0.0002386229998592171,0.00024483800007146783,0.002253000999644428
45,0.0006730670002070838,0.00020283399999243557,0.058350919999611506
46,0.000528366999787977,0.0005661800000780204,0.004024445999675663
47,0.0003638430002865789,0.00022636899984718184,0.0027999300000374205
48,0.00039929000013216864,0.0002755109999270644,0.005626531999951112
49,0.0003525570000419975,0.0002750720000221918,0.0031656610003665264
50,0.00035861900005329517,0.000578164999751607,0.005296364000059839
51,0.0003833920000033686,0.00029577500026789494,0.0028448670000216225
52,0.0002417759997115354,0.0002517630000511417,0.00690796600019894
53,0.0006971730003897392,0.0006139669999356556,0.009228347999851394
54,0.00036979300011807936,0.000299658999665553,0.005565256999943813
55,0.00036261400009607314,0.00026607700010572444,0.006429139999909239
56,0.0006066259998078749,0.00027278099969407776,0.07116904299982707
57,0.0003579320000426378,0.000679041000239522,0.006815688000187947
58,0.0004888089997621137,0.00043316699975548545,0.005494543999702728
59,0.0006531569997605402,0.0004954080000061367,0.006771162999939406
60,0.00045694499976889347,0.06753273599997556,0.012942124999881344
61,0.0003867580003316107,0.0006132799999249983,0.010655923000285838
62,0.0008208459998968465,0.0006061389999558742,0.010055937000288395
63,0.0005656540001837129,0.0005500669999491947,0.05813857700013614
64,0.0008750370002417185,0.0008595900003456336,0.009485332999702223
65,0.00039160300002549775,0.0004960609999216103,0.008359421000022849
66,0.0005878580000171496,0.00043353199998819036,0.007866727999953582
67,0.0005156709999027953,0.00039294299995162874,0.06251770800008671
68,0.0008192149998649256,0.0007823169999028323,0.009587308999925881
69,0.0007241960001920233,0.0010403139999652922,0.010370066999712435
70,0.0007350709997808735,0.0004358700002740079,0.011507548999816208
71,0.0010113220000675938,0.04775150300019959,0.008368829000119149
72,0.0006253070000639127,0.0004341349999776867,0.008455284000319807
73,0.00046594400009780657,0.0006922780003151274,0.008086640999863448
74,0.00045126799977879273,0.00044882699967274675,0.06469079299995428
75,0.0004473939998206333,0.0004333360002419795,0.012163684999904945
76,0.0006782010000279115,0.000846654000270064,0.009086038000077679
77,0.0005216069998823514,0.0006567689997609705,0.01068625100015197
78,0.0005693269999937911,0.0005088050002086675,0.061980044999927486
79,0.0008068209999692044,0.0010084049999932176,0.012736814000163577
80,0.0018448149999130692,0.001996782999867719,0.0918183379999391
81,0.0008072399996308377,0.0006758250001439592,0.07477936899977067
82,0.0011879680000674853,0.0014689270001326804,0.08733447599979627
83,0.0011154160001751734,0.001052871999945637,0.013144473000011203
84,0.0005907569998271356,0.0007158569997045561,0.08135429100002511
85,0.0006667259999630915,0.0005267139999887149,0.013174349000109942
86,0.0006185320003169181,0.000555995000013354,0.015134354000110761
87,0.0013348529996619618,0.000922794999951293,0.06538051400002587
88,0.0014234320001378364,0.0013745189999099239,0.02216137699997489
89,0.0005793720001747715,0.00066132900019511,0.016938125000251603
90,0.0009511490002296341,0.0009270909999941068,0.01584770599993135
91,0.0005691610003850656,0.0007041159997243085,0.06579678299976877
92,0.0006671299997833557,0.0006206169996403332,0.022401610000088112
93,0.001364017000014428,0.0006804889999330044,0.07540505699989808
94,0.0013025090001974604,0.002023006999934296,0.07626148499957708
95,0.0011380409996490926,0.0047320769999714685,0.04336104499998328
96,0.0007613540001329966,0.0008075369996731752,0.02736243800018201
97,0.0016523720000805042,0.0007434600001943181,0.07244270599994707
98,0.0010465710001881234,0.000737568999738869,0.018465683000158606
99,0.0008172050002031028,0.0007379619996754627,0.07370975899993937
100,0.001463064999825292,0.0008332010002050083,0.027597372999935033
101,0.001068606999979238,0.051570453999829624,0.025477515000147832
102,0.001510551999672316,0.000811449000138964,0.07498788199973205
103,0.0008239149997280037,0.0008421229999839852,0.03150036800025191
104,0.0522091900002124,0.0013889709998693434,0.10664581399987583
105,0.0011046520003219484,0.0008729370001674397,0.09221132600032433
106,0.0008307530001729901,0.0010710359997574415,0.0806171499998527
107,0.0008975679998002306,0.0008447420000265993,0.027031560000068566
108,0.0011096210000687279,0.0032747949999247794,0.08340561099976185
109,0.0023780289998285298,0.002190766000239819,0.0811057669998263
110,0.002110285000071599,0.0036276030000408355,0.08065166100004717
111,0.0008746779999455612,0.0009018679998007428,0.08371879900005297
112,0.0017001840001285018,0.0015237879997584969,0.10019427199995334
113,0.000885643999936292,0.000879721000274003,0.09279591899985462
114,0.0017622720001782,0.0009520440003143449,0.11200978999977451
115,0.001582036999934644,0.0015106859996194544,0.034351827999671514
116,0.001839343000028748,0.0010716679998949985,0.10519564800006265
117,0.0018641440001374576,0.00109038300024622,0.10199255899988202
118,0.0009576590000506258,0.0022713859998475527,0.0895823319997362
119,0.001078495000001567,0.0009765279996827303,0.1035839159999341
120,0.003040259000044898,0.0012293959998714854,0.088237073000073
121,0.0017767159997674753,0.0014205269999365555,0.09947854099982578
122,0.004124082999624079,0.05052611300015997,0.0995786430003136
123,0.0016398939997088746,0.0015410569999403378,0.11401969100006681
124,0.0014307380001810088,0.0026633789998413704,0.27163005400007023
125,0.00126710099993943,0.0011092280001321342,0.1257142119998207
126,0.0010628610002640926,0.0010929730001407734,0.06968514199979836
127,0.0010997409999617958,0.0011706370000865718,0.08088142499991591
128,0.0014329860000543704,0.002191471000060119,0.10228699300023436
129,0.0011400570001569577,0.002163395000025048,0.25940467200007333
130,0.002892670999699476,0.001689239000370435,0.20564231200023642
131,0.0018927049995909329,0.0018606180001370376,0.110452819999864
